Channel_Name,Channel_Id,Description,Independent,Archetypes
T-Series,UCq-Fj5jknLsUf-MWSy4_brA,"T-Series is a corporate YouTube channel and one of the largest music labels and film production companies in India. Known for its extensive collection of Bollywood music videos, movie trailers, and film-related content, T-Series caters to a global audience, making it a prominent player in the entertainment industry.",No,Corporate / Non-Youtuber
MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,"MrBeast is an independent YouTuber known for his philanthropic endeavors, engaging challenges, and entertaining stunts. With a focus on making a positive impact, MrBeast's channel showcases creative and altruistic content that resonates with a wide audience.",Yes,Variety / General Entertainment
Cocomelon - Nursery Rhymes,UCbCmjCuTUZos6Inko4u57UQ,"Cocomelon - Nursery Rhymes is a corporate YouTube channel that produces animated nursery rhymes and educational songs for children. With colorful animations and catchy tunes, Cocomelon provides a fun and interactive learning experience for toddlers and preschoolers.",No,Corporate / Non-Youtuber
SET India,UCpEhnqL0y41EpW2TvWAHD7Q,"SET India is a corporate YouTube channel representing Sony Entertainment Television, featuring a diverse range of Hindi television shows, serials, and exclusive clips. The channel entertains viewers with dramas, comedies, and reality shows.",No,Corporate / Non-Youtuber
✿ Kids Diana Show,UCk8GzjMOrta8yxDcKfylJYw,"Kids Diana Show is an independent YouTube channel showcasing the playful adventures and activities of Diana, a young girl. With a focus on imaginative play, DIY activities, and educational content, Kids Diana Show creates engaging videos for young audiences.",Yes,Kids / Family
PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,"PewDiePie is an independent YouTuber, comedian, and gamer known for his gaming content, vlogs, and comedic commentary. With a massive fanbase, PewDiePie has become one of the most influential and subscribed individual creators on YouTube.",Yes,Variety / General Entertainment
Like Nastya,UCJplp5SjeGSdVdwsfb9Q7lQ,"Like Nastya is an independent YouTube channel featuring the adventures and playtime of Nastya and her family. The channel creates a mix of vlogs, pretend play, and educational content, making it a favorite among young children and parents.",Yes,Kids / Family
Vlad and Niki,UCvlE5gTbOvjiolFlEm-c_Ow,"Vlad and Niki is an independent YouTube channel starring two brothers, Vlad and Niki. The channel showcases their playful and imaginative activities, including toy unboxings, challenges, and educational content, appealing to a young audience.",Yes,Kids / Family
Zee Music Company,UCFFbwnve3yF62-tVXkTyHqg,"Zee Music Company is a corporate YouTube channel that functions as a music label, featuring a wide range of Indian music, including film songs, music videos, and independent tracks. The channel caters to music enthusiasts with diverse tastes.",No,Corporate / Non-Youtuber
WWE,UCfsmz7-5_Gw2UlPmCn1LMjQ,"WWE is a corporate YouTube channel representing World Wrestling Entertainment, providing wrestling fans with highlights, interviews, and exclusive content from the world of professional wrestling. With a global fanbase, WWE offers a digital platform for enthusiasts to stay connected with their favorite sports entertainment.",No,Corporate / Non-Youtuber
BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,"BLACKPINK's YouTube channel is a corporate account representing the popular South Korean girl group. The channel features music videos, performances, and behind-the-scenes content, offering fans an intimate look into the lives of the group members.",No,Corporate / Non-Youtuber
Goldmines,UCyoXW-Dse7fURq30EWl_CUA,"Goldmines is a corporate YouTube channel that offers a wide range of Indian films, including blockbuster movies and regional cinema. With a vast collection of movies, Goldmines caters to diverse audiences seeking entertainment from the vibrant Indian film industry.",No,Corporate / Non-Youtuber
Sony SAB,UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB is a corporate YouTube channel featuring a variety of Hindi television shows known for their light-hearted and comedy-centric content. The channel brings laughter and entertainment to viewers with its humorous shows and beloved characters.,No,Corporate / Non-Youtuber
5-Minute Crafts,UCCLVg6BI7NxDIp6GFKfFGFw,"5-Minute Crafts is a corporate YouTube channel specializing in DIY and life hacks. With a vast array of crafting ideas and useful tips, 5-Minute Crafts has gained popularity for its practical and inventive content.",No,Corporate / Non-Youtuber
BANGTANTV,UCLkAepWjdylmXSltofFvsYQ,"BANGTANTV is a corporate YouTube channel representing BTS (Bangtan Sonyeondan), the global K-pop sensation. The channel features music videos, behind-the-scenes footage, and exclusive content, offering fans an immersive experience into the world of the group.",No,Corporate / Non-Youtuber
Zee TV,UC8dnBi4WUErqYQHZ4PfsLTg,"Zee TV's YouTube channel is a corporate account featuring a variety of Hindi television shows, dramas, and reality programs. The channel provides diverse entertainment options for viewers of Indian television content.",No,Corporate / Non-Youtuber
HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,"HYBE LABELS is a corporate YouTube channel representing HYBE Corporation, the entertainment company behind BTS and other successful artists. The channel showcases music videos, performances, and exclusive content from HYBE's roster of talented musicians.",No,Corporate / Non-Youtuber
Justin Bieber,UCHkj014U2CQ2Nv0UZeYpE_A,"Justin Bieber's YouTube channel is a corporate account featuring his music videos, performances, and exclusive content. With a massive global fanbase, Justin Bieber's channel is a hub for fans eager to experience his music and personality.",No,Corporate / Non-Youtuber
Pinkfong Baby Shark - Kids' Songs & Stories,UCcdwLMPsaU2ezNSJU1nFoBQ,"Pinkfong Baby Shark is a corporate YouTube channel producing children's content, including the viral ""Baby Shark"" song. The channel offers a variety of kids' songs and stories, captivating young audiences with colorful animations and catchy tunes.",No,Corporate / Non-Youtuber
ChuChu TV Nursery Rhymes & Kids Songs,UCbCmjCuTUZos6Inko4u57UQ,"ChuChu TV is a corporate YouTube channel dedicated to nursery rhymes and kids' songs. With vibrant animations and educational content, ChuChu TV provides an entertaining and learning experience for toddlers and preschoolers.",No,Corporate / Non-Youtuber
Colors TV,UCBnZ16ahKA2DZ_T5W0FPUXg,"Colors TV's YouTube channel is a corporate account featuring a wide range of Hindi television shows, including dramas, reality shows, and talk shows. The channel offers diverse entertainment options for viewers of Indian television content.",No,Corporate / Non-Youtuber
Shemaroo Filmi Gaane,UCP6uH_XlsxrXwZQ4DlqbqPg,"Shemaroo Filmi Gaane is a corporate YouTube channel that specializes in presenting a vast collection of classic Bollywood songs. With a focus on nostalgia and timeless melodies, the channel appeals to fans of vintage Indian cinema music.",No,Corporate / Non-Youtuber
Canal KondZilla,UCffDXn7ycAzwL2LDlbyWOTw,"Canal KondZilla is a corporate YouTube channel representing KondZilla, a Brazilian music video producer. The channel features high-energy music videos from various genres, making it a popular destination for music enthusiasts.",No,Corporate / Non-Youtuber
T-Series Bhakti Sagar,UCaayLD9i5x4MmIoVZxXSv_g,"T-Series Bhakti Sagar is a corporate YouTube channel focused on spiritual and devotional content. The channel offers a wide range of religious music, bhajans, and devotional songs, catering to viewers seeking spiritual content.",No,Corporate / Non-Youtuber
Tips Official,UCJrDMFOdv1I2k8n9oK_V21w,"Tips Official is a corporate YouTube channel that features a diverse collection of Bollywood songs, music videos, and film soundtracks. With a rich musical repertoire, the channel appeals to fans of Indian film music across different genres.",No,Corporate / Non-Youtuber
El Reino Infantil,UC4YEUHW35Dxj4yBcF2XiROg,"El Reino Infantil is a corporate YouTube channel that produces Spanish-language animated content for children. With colorful animations and educational songs, El Reino Infantil provides a joyful and educational experience for young viewers, fostering learning through engaging visuals and music.",No,Corporate / Non-Youtuber
